iter	Passed	Remaining
0	160	160806
1	169	84612
2	172	57343
3	175	43683
4	176	35166
5	181	30016
6	183	26086
7	186	23095
8	188	20703
9	189	18758
10	191	17198
11	193	15941
12	195	14860
13	197	13910
14	200	13135
15	201	12409
16	203	11771
17	206	11286
18	208	10752
19	209	10266
20	210	9831
21	212	9439
22	213	9078
23	214	8743
24	216	8435
25	217	8163
26	220	7962
27	222	7722
28	223	7498
29	225	7287
30	226	7088
31	228	6902
32	229	6729
33	231	6570
34	233	6427
35	234	6284
36	236	6149
37	238	6033
38	240	5918
39	242	5811
40	244	5722
41	246	5629
42	249	5554
43	253	5514
44	257	5457
45	261	5417
46	263	5338
47	264	5253
48	266	5167
49	267	5091
50	271	5042
51	274	5007
52	276	4942
53	278	4880
54	280	4815
55	281	4748
56	283	4683
57	284	4619
58	285	4557
59	287	4510
60	289	4461
61	291	4403
62	292	4352
63	295	4327
64	298	4290
65	300	4250
66	306	4265
67	307	4219
68	309	4181
69	313	4169
70	317	4152
71	319	4119
72	321	4085
73	323	4049
74	325	4014
75	327	3980
76	330	3960
77	333	3943
78	338	3948
79	340	3915
80	342	3889
81	344	3858
82	347	3835
83	348	3805
84	350	3773
85	352	3750
86	355	3726
87	356	3697
88	358	3670
89	360	3640
90	361	3612
91	363	3587
92	365	3563
93	368	3554
94	372	3544
95	373	3519
96	375	3497
97	378	3488
98	381	3471
99	383	3452
100	385	3430
101	386	3406
102	389	3390
103	390	3367
104	392	3343
105	393	3319
106	394	3295
107	396	3273
108	397	3251
109	399	3230
110	400	3207
111	401	3187
112	404	3174
113	406	3159
114	408	3141
115	409	3121
116	411	3101
117	412	3085
118	414	3066
119	416	3052
120	418	3038
121	419	3021
122	421	3002
123	422	2986
124	424	2969
125	426	2955
126	427	2939
127	429	2927
128	432	2917
129	433	2904
130	435	2887
131	436	2871
132	438	2856
133	439	2841
134	441	2826
135	442	2812
136	444	2798
137	445	2785
138	447	2773
139	449	2759
140	450	2745
141	452	2731
142	453	2719
143	455	2708
144	456	2694
145	458	2681
146	459	2667
147	460	2653
148	462	2639
149	463	2627
150	465	2614
151	466	2602
152	468	2591
153	470	2585
154	473	2580
155	474	2569
156	476	2559
157	478	2548
158	482	2552
159	484	2544
160	486	2534
161	488	2524
162	489	2514
163	491	2503
164	492	2492
165	493	2481
166	495	2470
167	497	2462
168	498	2453
169	500	2443
170	502	2435
171	504	2426
172	505	2418
173	507	2409
174	509	2399
175	511	2394
176	513	2385
177	515	2378
178	516	2368
179	517	2358
180	519	2348
181	520	2338
182	521	2329
183	523	2319
184	524	2311
185	526	2303
186	527	2294
187	529	2286
188	532	2284
189	534	2278
190	535	2270
191	537	2261
192	539	2254
193	540	2246
194	542	2237
195	543	2228
196	544	2220
197	546	2211
198	547	2203
199	548	2195
200	550	2187
201	551	2179
202	553	2172
203	555	2165
204	556	2158
205	559	2155
206	560	2147
207	561	2139
208	563	2131
209	564	2123
210	565	2115
211	567	2108
212	568	2101
213	570	2093
214	571	2086
215	573	2079
216	574	2073
217	576	2068
218	578	2064
219	580	2058
220	582	2052
221	583	2045
222	585	2041
223	587	2036
224	589	2030
225	590	2024
226	592	2017
227	593	2011
228	595	2006
229	597	1999
230	598	1992
231	599	1986
232	601	1979
233	602	1972
234	603	1966
235	605	1959
236	606	1952
237	608	1946
238	609	1941
239	611	1935
240	613	1931
241	615	1929
242	619	1929
243	621	1925
244	623	1921
245	625	1915
246	626	1909
247	627	1903
248	636	1920
249	639	1917
250	641	1915
251	645	1914
252	647	1910
253	648	1905
254	650	1900
255	652	1894
256	653	1890
257	655	1884
258	656	1878
259	658	1872
260	659	1867
261	660	1861
262	662	1856
263	663	1850
264	665	1844
265	666	1839
266	668	1834
267	669	1829
268	671	1824
269	672	1819
270	674	1814
271	676	1809
272	677	1804
273	679	1799
274	681	1796
275	683	1792
276	684	1787
277	686	1781
278	687	1776
279	688	1771
280	690	1766
281	691	1761
282	693	1756
283	695	1752
284	696	1748
285	698	1743
286	700	1740
287	702	1736
288	704	1733
289	706	1729
290	708	1725
291	710	1721
292	711	1717
293	712	1711
294	714	1706
295	715	1701
296	717	1697
297	718	1692
298	720	1688
299	721	1683
300	723	1679
301	725	1675
302	726	1672
303	728	1668
304	730	1664
305	731	1660
306	733	1655
307	734	1650
308	735	1645
309	737	1641
310	739	1637
311	740	1632
312	741	1627
313	743	1623
314	744	1619
315	746	1615
316	747	1611
317	749	1607
318	751	1604
319	754	1602
320	756	1599
321	757	1595
322	759	1591
323	761	1588
324	763	1585
325	764	1581
326	766	1577
327	767	1573
328	769	1569
329	771	1566
330	773	1563
331	775	1559
332	776	1556
333	778	1552
334	779	1548
335	781	1543
336	782	1540
337	784	1537
338	786	1534
339	788	1530
340	790	1526
341	791	1522
342	792	1518
343	794	1515
344	796	1512
345	798	1508
346	799	1505
347	801	1501
348	802	1497
349	803	1493
350	805	1488
351	806	1484
352	808	1481
353	809	1478
354	811	1474
355	813	1472
356	815	1469
357	817	1466
358	819	1463
359	821	1460
360	824	1458
361	825	1455
362	827	1451
363	828	1447
364	829	1443
365	831	1439
366	832	1435
367	833	1431
368	835	1429
369	838	1427
370	839	1424
371	842	1422
372	844	1419
373	846	1416
374	848	1414
375	863	1432
376	865	1430
377	867	1426
378	868	1423
379	871	1421
380	874	1421
381	876	1418
382	878	1414
383	880	1412
384	882	1410
385	885	1408
386	887	1405
387	888	1401
388	890	1398
389	891	1394
390	892	1390
391	894	1387
392	895	1383
393	897	1380
394	899	1377
395	901	1374
396	902	1371
397	904	1367
398	905	1364
399	907	1361
400	909	1357
401	910	1354
402	911	1350
403	912	1346
404	914	1343
405	916	1340
406	917	1337
407	919	1334
408	922	1332
409	923	1329
410	926	1327
411	927	1324
412	929	1321
413	931	1318
414	932	1314
415	934	1311
416	936	1308
417	937	1305
418	939	1302
419	941	1300
420	943	1297
421	944	1294
422	946	1290
423	947	1287
424	949	1285
425	952	1283
426	956	1282
427	958	1280
428	959	1277
429	960	1273
430	962	1270
431	964	1268
432	966	1265
433	967	1261
434	968	1258
435	970	1255
436	971	1251
437	973	1248
438	974	1245
439	976	1242
440	978	1240
441	981	1238
442	982	1235
443	984	1232
444	986	1230
445	989	1229
446	991	1226
447	992	1223
448	994	1220
449	995	1216
450	996	1213
451	998	1210
452	999	1207
453	1001	1204
454	1003	1201
455	1005	1199
456	1006	1196
457	1008	1193
458	1009	1190
459	1011	1187
460	1012	1183
461	1013	1180
462	1015	1178
463	1017	1175
464	1019	1172
465	1021	1170
466	1023	1167
467	1024	1165
468	1026	1162
469	1027	1158
470	1028	1155
471	1030	1152
472	1031	1149
473	1033	1146
474	1034	1143
475	1035	1140
476	1037	1137
477	1038	1133
478	1039	1131
479	1041	1128
480	1043	1125
481	1044	1122
482	1046	1120
483	1048	1118
484	1051	1116
485	1052	1113
486	1054	1110
487	1056	1108
488	1058	1105
489	1059	1102
490	1061	1099
491	1063	1097
492	1064	1095
493	1066	1092
494	1068	1089
495	1070	1087
496	1071	1084
497	1073	1081
498	1074	1079
499	1076	1076
500	1078	1074
501	1079	1071
502	1081	1068
503	1083	1066
504	1085	1064
505	1087	1061
506	1089	1059
507	1092	1058
508	1094	1055
509	1095	1052
510	1097	1050
511	1098	1047
512	1100	1044
513	1102	1042
514	1103	1039
515	1107	1039
516	1111	1038
517	1112	1035
518	1114	1032
519	1115	1030
520	1117	1027
521	1120	1025
522	1122	1023
523	1124	1021
524	1126	1019
525	1128	1016
526	1130	1014
527	1133	1012
528	1136	1011
529	1138	1009
530	1140	1006
531	1141	1004
532	1142	1001
533	1144	998
534	1146	996
535	1148	993
536	1151	992
537	1153	990
538	1155	987
539	1156	985
540	1158	982
541	1161	981
542	1163	979
543	1166	977
544	1168	975
545	1169	972
546	1171	970
547	1173	967
548	1176	966
549	1179	965
550	1181	962
551	1183	960
552	1185	958
553	1187	956
554	1189	953
555	1191	951
556	1194	950
557	1196	948
558	1198	945
559	1200	943
560	1203	941
561	1205	939
562	1206	936
563	1209	934
564	1210	932
565	1212	929
566	1214	927
567	1217	926
568	1220	924
569	1221	921
570	1223	919
571	1225	916
572	1226	913
573	1228	911
574	1230	909
575	1232	907
576	1234	905
577	1236	902
578	1237	900
579	1239	897
580	1242	895
581	1243	893
582	1245	891
583	1247	888
584	1249	886
585	1251	884
586	1253	881
587	1258	881
588	1259	879
589	1262	877
590	1264	874
591	1266	872
592	1267	870
593	1272	869
594	1274	867
595	1276	865
596	1277	862
597	1278	859
598	1280	857
599	1281	854
600	1284	852
601	1288	851
602	1293	851
603	1296	850
604	1300	848
605	1302	846
606	1303	844
607	1305	841
608	1307	839
609	1309	837
610	1310	834
611	1314	833
612	1316	831
613	1317	828
614	1319	825
615	1320	823
616	1321	820
617	1323	818
618	1325	815
619	1326	813
620	1328	810
621	1329	807
622	1330	805
623	1332	802
624	1333	800
625	1338	799
626	1339	797
627	1341	794
628	1343	792
629	1345	790
630	1347	787
631	1349	785
632	1351	783
633	1353	781
634	1356	779
635	1357	777
636	1359	774
637	1361	772
638	1362	769
639	1363	767
640	1365	764
641	1366	762
642	1368	759
643	1370	757
644	1371	754
645	1373	752
646	1376	750
647	1378	748
648	1379	746
649	1381	744
650	1383	741
651	1385	739
652	1386	736
653	1388	734
654	1389	731
655	1391	729
656	1392	727
657	1394	724
658	1395	722
659	1397	719
660	1398	717
661	1400	715
662	1402	712
663	1403	710
664	1405	707
665	1406	705
666	1407	702
667	1409	700
668	1410	697
669	1412	695
670	1414	693
671	1416	691
672	1418	689
673	1421	687
674	1422	685
675	1425	683
676	1427	681
677	1429	678
678	1430	676
679	1432	674
680	1433	671
681	1435	669
682	1436	666
683	1438	664
684	1440	662
685	1442	660
686	1443	657
687	1444	655
