,brainwt,bodywt,animal,ratio_wt,new_column
0,3.385,44.5,Arctic_fox,0.07606741551602825,0.1521348310320565
1,0.48,15.499,Owl_monkey,0.03096973929099709,0.06193947858199418
2,1.35,8.1,Beaver,0.16666666961010593,0.33333333922021186
4,36.328,119.49799999999999,Gray_wolf,0.30400508054519937,0.6080101610903987
5,27.66,114.99600000000001,Goat,0.24053010406807288,0.48106020813614575
6,14.831,98.199,Roe_deer,0.15103005456332513,0.30206010912665027
7,1.04,5.5,Guinea_pig,0.18909090215509589,0.37818180431019177
8,4.19,57.998000000000005,Vervet,0.072243871464886,0.144487742929772
9,0.425,6.4,Chinchilla,0.06640625186264515,0.1328125037252903
10,0.101,4.0,Ground_squirrel,0.02525000087916851,0.05050000175833702
11,0.92,5.7,Arctic,0.1614035116998773,0.3228070233997546
12,1.0,6.6,African_giant_pouched_rat,0.15151515151515152,0.30303030303030304
13,0.005,0.14,Lesser_short-tailed-shrew,0.03571428491600922,0.07142856983201844
14,0.06,1.0,Star-nosed_mole,0.05999999865889549,0.11999999731779099
15,3.5,10.8,Nine-banded_armadillo,0.32407407407407407,0.6481481481481481
16,2.0,12.3,Tree_hyrax,0.16260162601626016,0.3252032520325203
17,1.7,6.3,N._American,0.26984127741011366,0.5396825548202273
19,0.023,0.3,Big_brown_bat,0.07666666681567828,0.15333333363135657
22,0.785,3.5,European_hedgehog,0.22428572177886963,0.44857144355773926
23,10.0,114.99600000000001,Patas_monkey,0.08695954641900587,0.17391909283801174
24,3.3,25.6,Cat,0.12890624813735485,0.2578124962747097
25,0.2,5.0,Galago,0.04000000059604645,0.0800000011920929
26,1.41,17.5,Genet,0.08057142666407995,0.1611428533281599
29,85.004,324.992,Gray_seal,0.26155720080104855,0.5231144016020971
30,0.75,12.3,Rock_hyrax1,0.06097560975609756,0.12195121951219512
33,3.5,3.9,Water_opossum,0.8974358974358975,1.794871794871795
34,6.8,179.003,Rhesus_monkey,0.0379881912076047,0.0759763824152094
35,34.998,56.003,Kangaroo,0.6249308268955737,1.2498616537911473
36,4.05,17.0,Yellow-bellied_marmot,0.2382353053373449,0.4764706106746898
37,0.12,1.0,Golden_hamster,0.11999999731779099,0.23999999463558197
38,0.023,0.4,Mouse,0.05750000011175871,0.11500000022351742
39,0.01,0.25,Little_brown_bat,0.03999999910593033,0.07999999821186066
40,1.4,12.5,Slow_loris,0.11199999809265136,0.22399999618530272
42,2.5,12.1,Rabbit,0.2066115702479339,0.4132231404958678
43,55.501,175.002,Sheep,0.31714494377597735,0.6342898875519547
44,100.003,156.993,Jaguar,0.6369901737787722,1.2739803475575444
46,10.55,179.50400000000002,Baboon,0.05877306461546741,0.11754612923093483
47,0.55,2.4,Desert_hedgehog,0.2291666716337204,0.4583333432674408
48,59.997,80.99600000000001,Giant_armadillo,0.7407403038168454,1.4814806076336908
49,3.6,21.0,Rock_hyrax2,0.17142856688726515,0.3428571337745303
50,4.288,39.201,Raccoon,0.10938496739398289,0.21876993478796578
51,0.28,1.9,Rat,0.1473684216800489,0.2947368433600978
52,0.075,1.2,E._American_mole,0.06250000248352687,0.12500000496705374
53,0.122,3.0,Mole_rat,0.04066666712363561,0.08133333424727122
54,0.048,0.33,Musk_shrew,0.14545454671888638,0.29090909343777277
56,3.0,25.000999999999998,Echidna,0.11999520019199234,0.23999040038398467
58,0.9,2.6,Tenrec,0.3461538369839008,0.6923076739678016
59,1.62,11.4,Phalanger,0.14210526357617295,0.2842105271523459
60,0.104,2.5,Tree_shrew,0.04160000085830688,0.08320000171661376
61,4.235,50.4,Red_fox,0.0840277804268731,0.1680555608537462
